"year","Summer","Winter","perc_rec"
1981,898224,1545744,63.2473092937387
1982,1514010,356644,19.0652039340252
1983,620009,2126022,77.4216314382467
1984,1201520,1416364,54.1033903717659
1985,2005247,1698260,45.8554553832354
1986,5429478,2152968,28.3941092359906
1987,5681216,1125728,16.5379353789307
1988,3282284,1202803,26.8178298436574
1989,2004990,698756,25.8439957007796
1990,2112188,904435,29.9817047075488
1991,1549908,1882853,54.8495220028426
1992,644057,120775,15.7910495376762
1993,905249,247277,21.4552209668155
1994,2366897,119510,4.80653408713859
1995,1161982,131668,10.1780234221003
1996,2150974,139599,6.09450124488501
1997,1491314,997655,40.083062504997
1998,975012,452429,31.6951103408127
1999,2086202,507361,19.5623163964014
2000,2717986,61086,2.1980718743523
2001,2055841,710098,25.672945064949
2002,1498596,934799,38.415423718714
2003,1325774,312944,19.0968793898645
2004,994328.2,50243.9,4.80999827584903
2005,1268300,371035,22.6332628779353
2006,2048091.6,1131117,35.5785713463407
2007,669817,49368,6.86443682779813
2008,1683364,690404,29.0847294259591
2009,1513342,6193,0.407558891371373
2010,2431894,1518184,38.4342790193004
2011,2969147,674772,18.5177551970831
2012,2254385,131211,5.50013497675214
2013,2268211,5,0.000220437559738579
2014,2062939,4,0.000193897747053603
2015,3372323,281838,7.71279645313931
2016,3337146,811373,19.5581362891191
2017,3198391,403819,11.210312558124
2018,2061791,2585,0.125219436769271
2019,1493795,266234,15.1266825717076
2020,1521480,333708,17.9878265706764
2021,1876430,105519,5.32400177804777
